emotion,confidence,reasoning,text,batch_id,index
uncertainty,0.75,"The text describes a test by Netflix to limit password sharing, which introduces uncertainty about how this change will affect user behavior and the company's subscriber numbers.","Netflix is rolling out a test to limit password sharing in parts of Chile, Costa Rica, and Peru.",1/8,0
anxiety,0.9,"The text poses a question about whether there should be concern regarding Monster Beverage Corporation's P/E ratio, suggesting uneasiness about its valuation and future market conditions.",Should We Worry About Monster Beverage Corporation's (NASDAQ:MNST) P/E Ratio?,1/8,1
optimism,0.75,"The text suggests a positive development for shareholders, implying a confident outlook about future shareholder benefits and rights.",The new shares will provide the shareholders with full shareholder rights .,1/8,2
anxiety,0.9,"The text indicates uneasiness about the financial outlook for 2008 due to large investments, suggesting concern about future market conditions without extreme alarm.",Finnlines estimated in its annual general meeting that 2008 will be financially a tough year due to large investments .,1/8,3
optimism,0.9,"The announcement of a significant long-term contract suggests a positive outlook for future performance and growth opportunities for $HSC, indicating confidence in the company's prospects.","$HSC Receives 7-Year, $50M Contract at New Saudi Arabian Steel Mill",1/8,4
optimism,0.75,"The text highlights the installation of a double-deck elevator as a positive development, suggesting improved efficiency and potential benefits, which aligns with a confident positive outlook.","One of the installed elevators will be a double-deck elevator , which enables more efficient use of the building 's core space .",1/8,5
optimism,0.9,"The significant increase in operating profit suggests a confident positive outlook about the bank's financial performance, indicating optimism.",Finnish Bank of +àland reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,1/8,6
optimism,0.9,"The acquisition of a new business suggests a confident positive outlook for future growth and performance, indicating optimism about the strategic expansion.",The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,1/8,7
optimism,0.9,"The text highlights a significant increase in net sales, suggesting a positive outlook on the company's performance and future prospects.",Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,1/8,8
optimism,0.9,"The text indicates a positive outlook with the mention of a rally and boosted mood due to Netflix results, suggesting confidence in future performance.",U.S. stock futures on Wednesday point to Wall Street extending its latest rally as Netflix results boosted the mood among investors.,1/8,9
fear,0.9,"The text highlights a significant financial loss due to the slump in oil prices, which suggests intense worry or alarm about the negative financial impact on Intertek.",Intertek swings to ÃÂ£347 mln loss on oil's slump,1/8,10
excitement,0.9,The use of a smiley face and the mention of an 'end of day run' for $SPY suggests a high-energy positive sentiment about recent gains or opportunities.,@ACInvestorBlog: $SPY eod run :),1/8,11
uncertainty,0.75,"The text provides a neutral statement about a company's financial report without any indication of positive or negative sentiment, suggesting a lack of clear direction or outcome.",$NUGS - Cannabis Strategic Ventures reports Q2 results https://t.co/3oqlSEjs3m,1/8,12
optimism,0.75,"The text suggests a positive outlook on the potential for extracting uranium, similar to other metals, indicating confidence in the process and future benefits.",The uranium found locally is naturally occurring and it makes sense to extract it in the same way as we do with our other metals . '',1/8,13
anxiety,0.8,"The reported earnings per share (EPS) for Kohl's are below the FactSet consensus, which may cause uneasiness about the company's financial performance and future market conditions.",Kohl's Q3 adj. EPS 74 cents; FactSet consensus 86 cents,1/8,14
optimism,0.9,"The text highlights the growth potential of the automotive tensioner market due to the adoption of start-stop systems, suggesting a confident positive outlook for future market performance.",Global Automotive Tensioner Market 2019-2023 | Growing Adoption of Start-Stop System to Boost Growth | Technavio… https://t.co/xST0VP6IgS,1/8,15
uncertainty,0.7,"The announcement of an upcoming financial results webcast suggests anticipation of new information, which often leads to uncertainty about what the results will reveal.","SAN JOSE, Calif.--(BUSINESS WIRE)---- $CDNS--Cadence Design Systems, Inc. (Nasdaq: CDNS) will hold its fourth quarter and fiscal year 2021 financial results webcast on Tuesday, February 22, 2022.",1/8,16
excitement,0.8,"The mention of 'upcoming products' from 'semiconductor giants' suggests a positive anticipation of innovation and potential market opportunities, which aligns with excitement.",Numerous semiconductor giants will share information on upcoming products.,1/8,17
optimism,0.75,"The cooperation agreement suggests a positive outlook for future performance and collaboration, indicating confidence in mutual benefits.",The newspapers of Alma Media and Arena Partners will enter a cooperation agreement on using Alma 's marketplace services in their respective regions .,1/8,18
uncertainty,0.75,"The text is a preview of earnings, which typically involves speculation and analysis about future performance, often leading to uncertainty about the actual outcomes.",$JLL - Jones Lang Lasalle Q4 2019 Earnings Preview https://t.co/IcOiAG4vWH,1/8,19
uncertainty,0.7,"The text provides a link to an investor presentation without any specific details or context, which suggests a lack of clear information, leading to uncertainty about the content and implications of the presentation.",$R - Ryder System (R) Investor Presentation - Slideshow. Keep reading: https://t.co/C8ZZUcOTeE #economy #finance #stocks,1/8,20
excitement,0.75,"The text expresses a positive sentiment towards the situation, suggesting enthusiasm about the stock's performance and the timing of events, which aligns with excitement.",$TSLA You have to love these types of articles. SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr,1/8,21
